year,series,value
1988,Hot daily lows (smoothed),0.069125
1989,Hot daily highs,0.007
1989,Hot daily lows,0.011
1989,Hot daily highs (smoothed),0.091570313
1989,Hot daily lows (smoothed),0.063480469
1990,Hot daily highs,0.018
1990,Hot daily lows,0.026
1990,Hot daily highs (smoothed),0.056558594
1990,Hot daily lows (smoothed),0.055804688
1991,Hot daily highs,0.032
1991,Hot daily lows,0.095
1991,Hot daily highs (smoothed),0.039617188
1991,Hot daily lows (smoothed),0.055789063
1992,Hot daily highs,0.01
1992,Hot daily lows,0.03
1992,Hot daily highs (smoothed),0.051160156
1992,Hot daily lows (smoothed),0.064480469
1993,Hot daily highs,0.055
1993,Hot daily lows,0.063
1993,Hot daily highs (smoothed),0.0785625
1993,Hot daily lows (smoothed),0.080695313
1994,Hot daily highs,0.214
1994,Hot daily lows,0.112
1994,Hot daily highs (smoothed),0.099230469
1994,Hot daily lows (smoothed),0.097867188
1995,Hot daily highs,0.065
1995,Hot daily lows,0.171
1995,Hot daily highs (smoothed),0.099648438
1995,Hot daily lows (smoothed),0.105324219
1996,Hot daily highs,0.106
1996,Hot daily lows,0.078
1996,Hot daily highs (smoothed),0.088230469
1996,Hot daily lows (smoothed),0.103859375
1997,Hot daily highs,0.003
1997,Hot daily lows,0.005
1997,Hot daily highs (smoothed),0.082246094
1997,Hot daily lows (smoothed),0.103445313
1998,Hot daily highs,0.157
1998,Hot daily lows,0.26
1998,Hot daily highs (smoothed),0.087421875
1998,Hot daily lows (smoothed),0.103699219
1999,Hot daily highs,0.048
1999,Hot daily lows,0.034
1999,Hot daily highs (smoothed),0.100769531
1999,Hot daily lows (smoothed),0.10121875
2000,Hot daily highs,0.137
2000,Hot daily lows,0.05
2000,Hot daily highs (smoothed),0.123320313
2000,Hot daily lows (smoothed),0.108527344
2001,Hot daily highs,0.09
2001,Hot daily lows,0.105
2001,Hot daily highs (smoothed),0.153023438
2001,Hot daily lows (smoothed),0.135367188
2002,Hot daily highs,0.276
2002,Hot daily lows,0.259
2002,Hot daily highs (smoothed),0.171824219
2002,Hot daily lows (smoothed),0.165488281
2003,Hot daily highs,0.248
2003,Hot daily lows,0.225
2003,Hot daily highs (smoothed),0.164757813
2003,Hot daily lows (smoothed),0.181695313
2004,Hot daily highs,0.014
2004,Hot daily lows,0.049
2004,Hot daily highs (smoothed),0.1496875
2004,Hot daily lows (smoothed),0.193824219
2005,Hot daily highs,0.087
2005,Hot daily lows,0.271
2005,Hot daily highs (smoothed),0.155402344
2005,Hot daily lows (smoothed),0.21259375
2006,Hot daily highs,0.274
2006,Hot daily lows,0.283
2006,Hot daily highs (smoothed),0.172371094
2006,Hot daily lows (smoothed),0.220070313
2007,Hot daily highs,0.286
2007,Hot daily lows,0.29
2007,Hot daily highs (smoothed),0.16653125
2007,Hot daily lows (smoothed),0.203277344
2008,Hot daily highs,0.035
2008,Hot daily lows,0.027
2008,Hot daily highs (smoothed),0.141542969
2008,Hot daily lows (smoothed),0.197246094
2009,Hot daily highs,0.035
2009,Hot daily lows,0.049
2009,Hot daily highs (smoothed),0.143445313
2009,Hot daily lows (smoothed),0.24540625
2010,Hot daily highs,0.147
2010,Hot daily lows,0.533
2010,Hot daily highs (smoothed),0.19409375
2010,Hot daily lows (smoothed),0.324730469
2011,Hot daily highs,0.356
2011,Hot daily lows,0.538
2011,Hot daily highs (smoothed),0.251355469
2011,Hot daily lows (smoothed),0.36459375
2012,Hot daily highs,0.463
2012,Hot daily lows,0.252
2012,Hot daily highs (smoothed),0.255667969
2012,Hot daily lows (smoothed),0.339707031
2013,Hot daily highs,0.121
2013,Hot daily lows,0.299
2013,Hot daily highs (smoothed),0.204597656
2013,Hot daily lows (smoothed),0.296335938
2014,Hot daily highs,0.028
2014,Hot daily lows,0.142
2014,Hot daily highs (smoothed),0.155320313
2014,Hot daily lows (smoothed),0.288496094
2015,Hot daily highs,0.109
2015,Hot daily lows,0.33
2015,Hot daily highs (smoothed),0.15234375
2015,Hot daily lows (smoothed),0.32328125
2016,Hot daily highs,0.242
2016,Hot daily lows,0.494
2016,Hot daily highs (smoothed),0.1818125
2016,Hot daily lows (smoothed),0.367929688
2017,Hot daily highs,0.244
2017,Hot daily lows,0.299
2017,Hot daily highs (smoothed),0.205824219
2017,Hot daily lows (smoothed),0.391070313
2018,Hot daily highs,0.235
2018,Hot daily lows,0.574
2018,Hot daily highs (smoothed),0.216445313
2018,Hot daily lows (smoothed),0.395699219
2019,Hot daily highs,0.09
2019,Hot daily lows,0.154
2019,Hot daily highs (smoothed),0.235777344
2019,Hot daily lows (smoothed),0.41578125
2020,Hot daily highs,0.321
2020,Hot daily lows,0.462
2020,Hot daily highs (smoothed),0.270445313
2020,Hot daily lows (smoothed),0.469125
2021,Hot daily highs,0.414
2021,Hot daily lows,0.693
2021,Hot daily highs (smoothed),0.293742188
2021,Hot daily lows (smoothed),0.517917969
2022,Hot daily highs,0.28
2022,Hot daily lows,0.657
2022,Hot daily highs (smoothed),0.283707031
2022,Hot daily lows (smoothed),0.508710938
2023,Hot daily highs,0.214
2023,Hot daily lows,0.33
2023,Hot daily highs (smoothed),0.253171875
2023,Hot daily lows (smoothed),0.444671875
