state,lat,long,value
KS,39.3256,-94.9189,0
KS,37.0308,-100.9069,0
KS,39.1972,-96.5814,-4.927792208
KS,38.3772,-97.6097,0
KS,39.1247,-97.7047,0
KS,39.7408,-99.8361,0
KS,39.8228,-100.5164,0
KS,38.8875,-94.7603,0
KS,38.6133,-95.2808,0
KS,39.7675,-101.8067,0
KS,38.4747,-100.9175,0
KS,37.1322,-96.18,-6.874805195
KS,39.7772,-98.7783,0
KS,39.0147,-99.8722,0
KY,38.4536,-82.6131,0
KY,36.8825,-83.8819,-9.439957199
KY,37.5733,-84.2908,0
KY,38.1228,-83.5328,-10.68363636
KY,37.2572,-85.5011,-9.131198229
KY,37.7558,-87.6456,0
KY,36.8489,-87.5208,-11.92462098
KY,37.5108,-86.2892,0
KY,38.6408,-84.5592,-14.65024631
LA,31.3206,-92.4611,-10.59220779
LA,30.7094,-90.525,0
LA,32.7314,-91.9144,10.40366862
LA,30.9594,-92.1786,-13.220688
LA,32.5372,-92.3597,0
LA,30.5272,-90.1114,0
LA,30.0719,-91.0278,0
LA,29.8233,-91.5442,-11.5215209
LA,30.4183,-92.0442,0
LA,29.6408,-90.8161,-7.170303157
LA,30.2003,-92.6642,-6.4
LA,31.9497,-91.2336,-12.38439424
LA,32.0997,-91.7022,-7.2060449
ME,45.6603,-69.812,-9.577398819
ME,44.9197,-69.2417,0
ME,44.9067,-66.9919,0
ME,44.6894,-70.1564,-8.468571429
ME,44.2203,-69.7889,-7.149090909
ME,45.6503,-68.705,0
ME,46.6539,-68.0089,-7.44453387
ME,45.1542,-67.3986,-10.70961039
MD,39.0303,-76.9314,-20.16275697
MD,39.2167,-76.0519,0
MD,38.9689,-76.8042,0
MD,39.0847,-76.9003,0
MD,39.4131,-79.4003,0
MD,38.2122,-75.6822,-18.43300544
MD,38.7153,-76.1908,-8.464864865
MD,38.365,-75.5892,0
MA,42.3861,-72.5375,0
MA,42.2122,-71.1136,0
MA,42.6992,-71.1658,-11.25090909
MA,41.9819,-70.6961,0
MA,42.5239,-71.125,-26.78266185
MA,41.9003,-71.0658,-13.05873854
MI,41.9164,-84.0164,0
MI,42.58,-85.7892,0
MI,43.3869,-84.6481,0
MI,42.2981,-83.6639,0
MI,43.7072,-85.4819,0
MI,46.5192,-87.9858,0
MI,45.6522,-84.4725,0
MI,41.9622,-84.9925,0
MI,44.2839,-83.5036,0
MI,43.675,-86.4228,0
MI,41.9353,-84.6411,0
MI,45.7858,-88.0842,0
MI,46.4656,-90.1892,0
MI,43.5858,-84.7694,-13.46026491
MI,46.4122,-86.6625,-11.7019895
MI,46.3286,-85.5033,0
MI,43.0161,-84.18,0
MI,42.4014,-86.2825,-10.90943521
MI,46.0556,-88.6275,11.44207792
MN,47.2992,-96.5161,0
MN,43.6064,-93.3019,0
MN,48.3311,-96.8253,0
MN,48.7094,-94.5853,-16.83029916
MN,46.7053,-92.5239,-7.147012987
MN,46.8372,-95.8375,-16.18382306
MN,43.6447,-94.4656,-12.45857426
MN,44.6661,-93.1756,-15.20559676
MN,47.5639,-95.7247,0
MN,43.7047,-92.5644,-7.172987013
MN,47.2436,-93.4975,-11.89506494
MN,47.2256,-95.1919,-6.175584416
MN,47.2467,-94.2228,0
MN,45.1219,-95.9269,-10.24831169
MN,44.9342,-95.7458,0
MN,45.8775,-93.3147,0
MN,45.59,-95.8744,0
MN,44.3006,-94.4897,-12.15226575
MN,46.6694,-94.1089,-15.78285714
MN,44.0139,-96.3258,-9.257142857
MN,48.8486,-95.7675,-18.54316215
MN,44.3222,-93.9656,0
MN,46.7953,-93.3211,-10.2774026
MN,47.0258,-91.6653,-11.51168831
MN,47.0997,-94.5725,-10.98787751
MN,43.7639,-94.1661,-8.013506494
MN,44.2997,-92.6656,0
MS,33.83,-88.5214,-5.799659029
MS,34.3061,-89.9806,-7.967858915
MS,34.6344,-88.5622,0
MS,31.5447,-90.4581,0
MS,32.6714,-90.0361,0
MS,34.1864,-90.5572,0
MS,31.2503,-89.8361,-10.37390447
MS,34.8792,-88.6178,0
MS,32.36,-89.4208,0
MS,33.3592,-91.06,-17.9219192
MS,31.2547,-89.3392,-12.21325937
MS,34.8039,-90.0103,0
MS,33.0583,-89.5797,-7.589895044
MS,31.6756,-89.1236,0
MS,33.1356,-89.0711,0
MS,31.5519,-90.1058,-14.12539277
MS,33.4517,-90.5097,-16.81073105
MS,31.5889,-91.3408,0
MS,30.3961,-88.4781,12.51621592
MS,34.1381,-88.9983,-8.033140953
MS,30.8408,-89.5453,0
MS,31.985,-90.9719,-12.39884899
MS,33.4692,-88.7822,0
MS,34.3725,-89.5308,-7.875324675
MS,34.1583,-89.6311,0
MS,31.6772,-88.6708,-15.2390908
MS,31.0931,-91.2325,-8.749300699
MS,32.9028,-90.3817,-25.42840444
MO,38.1894,-94.0244,0
MO,39.4247,-93.1331,0
MO,36.1875,-89.66,0
MO,38.395,-93.7711,0
MO,40.2394,-94.6833,-5.836883117
MO,36.6206,-90.8125,0
MO,37.7919,-90.4097,-8.994285714
MO,38.5847,-92.1831,-6.725194805
MO,37.5983,-94.2842,-8.953624711
MO,37.685,-92.6939,-9.012987013
MO,39.1828,-93.855,0
MO,37.3908,-93.9492,0
MO,37.3056,-89.975,-15.64573804
MO,39.1714,-91.8717,-11.39945015
MO,39.4033,-92.4325,0
MO,37.1542,-92.2619,0
MO,36.865,-94.3603,-6.456103896
MO,37.9567,-91.7761,0
MO,40.2472,-93.7158,0
MO,39.9703,-91.8875,0
MO,38.9664,-93.4194,-6.638961039
MO,40.475,-93.0031,0
MO,38.8347,-91.1389,0
MT,47.4925,-112.3969,-17.56841671
MT,45.8325,-109.9511,0
MT,45.6622,-111.0464,-6.633766234
MT,47.2192,-111.7108,-11.60085195
MT,48.5883,-109.2267,-6.840519481
MT,47.8206,-112.1922,-10.88273792
MT,45.2089,-112.6389,-11.34961039
MT,45.8864,-104.5478,-11.05454545
MT,45.3394,-111.7122,-5.447272727
MT,46.8217,-108.3725,-13.74064379
MT,48.4983,-109.8014,-10.8187013
MT,48.7783,-114.8997,-20.8204262
MT,47.1058,-104.7175,-10.59125876
MT,46.2461,-114.1681,-8.620328715
MT,44.8667,-111.3392,-11.46181818
MT,45.9228,-108.2453,-8.1731627
MT,45.9353,-107.1375,-7.198076923
MT,47.3144,-106.9103,-15.42339253
MT,48.3042,-114.2642,-9.437922078
MT,48.4036,-115.5392,-23.20296217
MT,48.4828,-104.4514,-13.21246753
MT,47.0572,-109.9511,-12.64517043
MT,45.4875,-111.6336,-16.67012987
MT,46.3158,-113.3,-8.586677321
MT,46.4178,-104.5164,-12.98181818
MT,45.1769,-109.2572,0
MT,47.315,-114.0983,-15.10822533
MT,47.4536,-104.3378,-14.08432432
MT,48.3119,-112.2492,-17.7954702
MT,47.88,-105.3686,-11.48886263
MT,45.2925,-111.9444,-13.30181818
NE,41.6853,-98.0083,-9.910324891
NE,42.1103,-102.8967,-9.233235413
NE,41.0408,-96.3811,-7.889213542
NE,42.5136,-99.0303,-8.817933784
NE,40.3706,-95.7469,0
NE,40.1306,-99.8278,0
NE,41.6681,-103.1039,-12.68324324
NE,41.4083,-99.675,-6.913246753
NE,40.6092,-96.8719,-7.152207792
NE,40.6344,-100.5219,-9.092323744
NE,41.2483,-97.0581,0
NE,40.0739,-97.1669,0
NE,40.6422,-97.5928,0
NE,40.5394,-97.5906,-12.29298701
NE,41.4514,-97.7644,-5.864935065
NE,40.9394,-100.1514,-8.622337662
NE,42.6858,-103.8842,0
NE,42.6167,-97.2608,-7.653016227
NE,40.6472,-98.3836,-6.222337662
NE,40.175,-97.5903,-7.836883117
NE,40.4517,-99.3803,0
NE,40.5092,-101.6514,0
NE,41.2453,-103.6344,0
NE,41.1489,-102.6361,0
NE,41.2789,-98.9697,-9.69349933
NE,41.8292,-97.45,-9.370266631
NE,40.2289,-100.61,0
NE,42.9194,-101.7089,-11.92451219
NE,40.5156,-98.9514,-6.174545455
NE,41.4969,-98.7714,-7.802634308
NE,42.0644,-97.9667,0
NE,40.1117,-96.1514,0
NE,42.065,-100.2472,0
NE,40.0978,-98.5197,0
NE,41.2078,-98.4608,-14.7709199
NE,40.9169,-97.0897,0
NE,40.6661,-96.1892,0
NE,40.3544,-96.1939,0
NE,41.7881,-96.2325,0
NE,42.3017,-96.9003,-6.22930644
NE,40.8639,-96.1414,-6.814900154
NE,40.8678,-97.5922,-9.247805394
NV,39.4931,-117.0675,-20.13639987
NV,39.4572,-118.7811,-16.68899884
NV,40.9567,-117.4922,-22.01449677
NV,40.17,-118.4775,0
NV,39.4142,-114.7739,0
NV,38.3878,-118.1092,-24.0573235
NV,35.4661,-114.9217,-14.82701299
NV,41.1169,-114.9786,-10.15240373
NH,43.1419,-70.95,-7.006753247
NH,45.09,-71.2906,-6.055064935
NH,43.7053,-72.2856,-14.23064935
NH,42.9389,-72.3247,0
NJ,40.8917,-74.3964,-14.26414937
NJ,41.03,-74.4247,-10.90805195
NJ,40.5742,-74.8817,-12.04155844
NJ,40.2664,-74.5642,0
NJ,39.7994,-74.7806,-13.15116883
NJ,40.2969,-74.0017,0
NJ,39.9683,-74.865,-8.45304745
NJ,40.6036,-74.4025,-9.109760162
NM,36.835,-108.0006,-10.90059736
NM,35.5297,-104.0936,-14.70967742
NM,32.3478,-104.2225,-8.431938788
NM,33.6308,-105.8964,-8.810989011
NM,36.9178,-106.5781,0
NM,36.4661,-104.9456,0
NM,36.9358,-107,-20.07157843
NM,33.1461,-107.1842,-14.13922078
NM,32.7939,-108.1514,-35.40245776
NM,34.4667,-104.2319,0
NM,35.7783,-106.6872,-8.416004126
NM,32.6161,-106.7403,-11.91688312
NM,34.7675,-106.7611,0
NM,33.8225,-108.9417,-17.09315492
NM,32.9542,-105.8222,-16.27532468
NM,34.5208,-106.2606,-12.06337662
NM,32.3789,-106.0925,-16.90153153
NM,36.71,-105.4164,-31.79402112
NM,35.1086,-103.3283,-16.52388004
NM,34.9561,-104.7217,-11.57468538
NM,34.0606,-106.8842,0
NM,36.3628,-104.585,-18.70333894
NM,32.2822,-106.7597,-31.09755245
NM,35.2006,-103.6867,-6.687792208
NM,33.0719,-106.0411,0
NY,42.1014,-77.2344,0
NY,42.2797,-77.7664,0
NY,42.1003,-78.7497,0
NY,42.3108,-78.0231,0
NY,42.9328,-76.5447,0
NY,43.0297,-78.1683,-6.839480519
NY,40.9519,-72.2978,0
NY,44.8786,-73.3953,0
NY,42.7167,-74.9267,-10.12779221
NY,44.7192,-73.7206,0
NY,42.5647,-77.7175,0
NY,41.0072,-73.8344,0
NY,42.0997,-76.8358,0
NY,42.4497,-79.312,0
NY,43.0492,-74.3592,0
NY,42.7742,-77.6083,-8.283636364
NY,43.7547,-74.2756,-8.580779221
NY,42.4492,-76.4492,0
NY,44.3042,-73.9839,-12.01375003
NY,44.7583,-74.6692,0
NY,43.0603,-74.8686,0
NY,43.1522,-78.6533,-6.285013343
NY,43.7928,-75.4828,0
NY,41.7719,-74.1536,-9.742406516
NY,42.8417,-75.7264,-11.16610391
NY,42.5117,-75.5197,-10.51948052
NY,44.7281,-75.4442,0
NY,43.45,-76.5369,-6.716883117
NY,41.3892,-74.6906,0
NY,43.0414,-73.8214,-22.18322709
NY,40.9586,-73.1047,0
NY,43.8914,-75.0361,-13.21142857
NY,42.7511,-73.685,-14.71159125
NY,44.2308,-74.4383,0
NY,44.1481,-74.9003,0
NY,43.9761,-75.8753,0
NY,41.3906,-73.9608,-11.46117672
NC,35.4,-80.1994,-18.2161039
NC,35.9086,-79.0797,-14.83116883
NC,36.0164,-76.5517,-9.71012987
NC,36.3097,-76.205,-10.73720401
NC,35.0592,-78.8589,-17.96675325
NC,36.3489,-78.4119,0
NC,35.3297,-82.4492,-24.34597403
NC,35.0564,-83.1983,8.031168831
NC,35.1967,-77.5433,0
NC,35.9147,-81.5375,-8.302337662
NC,36.1025,-78.3042,-17.07116883
NC,34.6269,-79.025,-17.21751737
NC,35.6847,-82.0083,0
NC,35.8033,-82.6658,0
NC,34.9797,-80.5233,-10.57454545
NC,34.7336,-76.7358,0
NC,35.7297,-81.6728,-9.04
NC,36.4961,-80.6522,0
NC,36.3797,-79.6944,-18.12011785
NC,35.6836,-80.4822,-10.34493506
NC,35.5175,-78.3444,0
NC,33.9947,-78.0078,9.662046746
NC,35.81,-80.8808,0
NC,35.8842,-77.5386,0
NC,36.4003,-81.3053,-7.818181818
NC,35.4867,-82.9681,0
NC,35.6939,-77.9461,-9.18961039
ND,48.8217,-100.4528,-9.741298701
ND,48.9158,-103.2981,-13.51688312
ND,46.8914,-102.7792,-10.925
ND,47.3467,-102.5869,-12.85638437
