year,series,value
1970,Cold Highs,0.17500000000000002
1970,9-pt High,0.12050781250000002
1970,Cold Lows,0.20800000000000002
1970,9-pt Low,9.2121093749999994E-2
1971,Cold Highs,1.8000000000000002E-2
1971,9-pt High,0.10321093750000003
1971,Cold Lows,1.3999999999999999E-2
1971,9-pt Low,7.935937500000001E-2
1972,Cold Highs,2.7000000000000003E-2
1972,9-pt High,9.2730468750000003E-2
1972,Cold Lows,3.9E-2
1972,9-pt Low,6.2410156250000008E-2
1973,Cold Highs,0.24600000000000002
1973,9-pt High,8.5773437500000008E-2
1973,Cold Lows,8.5999999999999993E-2
1973,9-pt Low,5.1914062500000004E-2
1974,Cold Highs,6.9999999999999993E-3
1974,9-pt High,7.5773437500000013E-2
1974,Cold Lows,3.3000000000000002E-2
1974,9-pt Low,5.5839843750000007E-2
1975,Cold Highs,1.3000000000000001E-2
1975,9-pt High,9.189062499999999E-2
1975,Cold Lows,0.02
1975,9-pt Low,9.7839843750000002E-2
1976,Cold Highs,0
1976,9-pt High,0.17591796874999999
1976,Cold Lows,5.0000000000000001E-3
1976,9-pt Low,0.19933203125000001
1977,Cold Highs,0.34299999999999997
1977,9-pt High,0.31362890624999995
1977,Cold Lows,0.49600000000000005
1977,9-pt Low,0.32911718750000002
1978,Cold Highs,0.58499999999999996
1978,9-pt High,0.41454687499999998
1978,Cold Lows,0.52900000000000003
1978,9-pt Low,0.40346875000000004
1979,Cold Highs,0.81599999999999995
1979,9-pt High,0.39296484374999996
1979,Cold Lows,0.66500000000000004
1979,9-pt Low,0.36638281250000004
1980,Cold Highs,0
1980,9-pt High,0.26857812499999995
1980,Cold Lows,0
1980,9-pt Low,0.25353906250000002
1981,Cold Highs,5.0000000000000001E-3
1981,9-pt High,0.14536718749999999
1981,Cold Lows,0.1
1981,9-pt Low,0.15003125000000003
1982,Cold Highs,0.11900000000000001
1982,9-pt High,9.3328124999999998E-2
1982,Cold Lows,0.109
1982,9-pt Low,0.10345312500000001
1983,Cold Highs,0.01
1983,9-pt High,9.6523437500000003E-2
1983,Cold Lows,0
1983,9-pt Low,0.10106640625
1984,Cold Highs,0.24399999999999999
1984,9-pt High,0.10348437499999999
1984,Cold Lows,0.22899999999999998
1984,9-pt Low,0.1049140625
1985,Cold Highs,9.6999999999999989E-2
1985,9-pt High,8.5421875000000008E-2
1985,Cold Lows,0.12400000000000001
1985,9-pt Low,8.8453124999999994E-2
1986,Cold Highs,1E-3
1986,9-pt High,5.0863281249999996E-2
1986,Cold Lows,1E-3
1986,9-pt Low,5.5910156250000002E-2
1987,Cold Highs,2E-3
1987,9-pt High,2.353125E-2
1987,Cold Lows,0
1987,9-pt Low,3.1421875000000002E-2
1988,Cold Highs,4.0000000000000001E-3
1988,9-pt High,1.2968750000000001E-2
1988,Cold Lows,4.0000000000000001E-3
1988,9-pt Low,2.6695312500000002E-2
1989,Cold Highs,3.3000000000000002E-2
1989,9-pt High,1.2035156250000002E-2
1989,Cold Lows,0.08
1989,9-pt Low,3.0667968750000003E-2
1990,Cold Highs,0
1990,9-pt High,1.6492187499999998E-2
1990,Cold Lows,2.6000000000000002E-2
1990,9-pt Low,3.0941406250000001E-2
1991,Cold Highs,2E-3
1991,9-pt High,3.20390625E-2
1991,Cold Lows,1.2E-2
1991,9-pt Low,2.9953125000000004E-2
1992,Cold Highs,1.6E-2
1992,9-pt High,5.7593749999999999E-2
1992,Cold Lows,1E-3
1992,9-pt Low,3.429296875E-2
1993,Cold Highs,0.20199999999999999
1993,9-pt High,7.4214843749999995E-2
1993,Cold Lows,9.5000000000000001E-2
1993,9-pt Low,3.9164062499999999E-2
1994,Cold Highs,6.9000000000000006E-2
1994,9-pt High,6.5203125000000001E-2
1994,Cold Lows,4.8000000000000001E-2
1994,9-pt Low,3.4601562500000002E-2
1995,Cold Highs,0
1995,9-pt High,3.8976562499999999E-2
1995,Cold Lows,0
1995,9-pt Low,2.1187500000000001E-2
1996,Cold Highs,0
1996,9-pt High,1.6765625000000003E-2
1996,Cold Lows,1E-3
1996,9-pt Low,8.4960937499999993E-3
1997,Cold Highs,0.01
1997,9-pt High,7.4609375000000006E-3
1997,Cold Lows,0
1997,9-pt Low,2.1601562500000002E-3
1998,Cold Highs,6.0000000000000001E-3
1998,9-pt High,7.8515624999999992E-3
1998,Cold Lows,0
1998,9-pt Low,8.6328125000000012E-4
1999,Cold Highs,0
1999,9-pt High,1.5792968750000001E-2
1999,Cold Lows,0
1999,9-pt Low,2.0390625000000001E-3
2000,Cold Highs,0
2000,9-pt High,2.9175781250000001E-2
2000,Cold Lows,0
2000,9-pt Low,4.1171874999999993E-3
2001,Cold Highs,0.12
2001,9-pt High,3.9750000000000001E-2
2001,Cold Lows,1.8000000000000002E-2
2001,9-pt Low,5.3906250000000013E-3
2002,Cold Highs,1E-3
2002,9-pt High,3.9625000000000007E-2
2002,Cold Lows,1E-3
2002,9-pt Low,4.7578125000000008E-3
2003,Cold Highs,5.9000000000000004E-2
2003,9-pt High,2.9980468749999999E-2
2003,Cold Lows,2E-3
2003,9-pt Low,2.9687500000000005E-3
2004,Cold Highs,1E-3
2004,9-pt High,1.8042968750000003E-2
2004,Cold Lows,1E-3
2004,9-pt Low,1.51171875E-3
2005,Cold Highs,2E-3
2005,9-pt High,9.8593750000000018E-3
2005,Cold Lows,0
2005,9-pt Low,1.01171875E-3
2006,Cold Highs,0
2006,9-pt High,8.671874999999999E-3
2006,Cold Lows,0
2006,9-pt Low,1.4257812500000002E-3
2007,Cold Highs,1.7000000000000001E-2
2007,9-pt High,1.9785156250000002E-2
2007,Cold Lows,4.0000000000000001E-3
2007,9-pt Low,3.4843750000000005E-3
2008,Cold Highs,9.0000000000000011E-3
2008,9-pt High,5.1074218749999997E-2
2008,Cold Lows,1E-3
2008,9-pt Low,9.128906249999999E-3
2009,Cold Highs,0
2009,9-pt High,9.4632812499999996E-2
2009,Cold Lows,1E-3
2009,9-pt Low,1.8324218749999999E-2
2010,Cold Highs,0.40299999999999997
2010,9-pt High,0.11756640625000001
2010,Cold Lows,0.06
2010,9-pt Low,2.6757812500000002E-2
2011,Cold Highs,2.4E-2
2011,9-pt High,9.9402343749999983E-2
2011,Cold Lows,3.7999999999999999E-2
2011,9-pt Low,3.3246093750000004E-2
2012,Cold Highs,0
2012,9-pt High,6.4128906249999992E-2
2012,Cold Lows,2E-3
2012,9-pt Low,4.5425781249999998E-2
2013,Cold Highs,4.0000000000000001E-3
2013,9-pt High,4.4804687499999996E-2
2013,Cold Lows,1.3000000000000001E-2
2013,9-pt Low,6.4644531250000026E-2
2014,Cold Highs,0.12300000000000001
2014,9-pt High,4.0332031250000011E-2
2014,Cold Lows,0.24600000000000002
2014,9-pt Low,7.3593749999999999E-2
2015,Cold Highs,1.3999999999999999E-2
2015,9-pt High,3.2800781250000001E-2
2015,Cold Lows,6.9999999999999993E-3
2015,9-pt Low,5.8453125000000002E-2
2016,Cold Highs,0
2016,9-pt High,1.9734375000000002E-2
2016,Cold Lows,0
2016,9-pt Low,3.1039062500000006E-2
2017,Cold Highs,1.3999999999999999E-2
2017,9-pt High,9.3281249999999996E-3
2017,Cold Lows,0.01
2017,9-pt Low,1.1238281250000001E-2
2018,Cold Highs,0
2018,9-pt High,4.1992187499999998E-3
2018,Cold Lows,0
2018,9-pt Low,3.3671875000000004E-3
2019,Cold Highs,1E-3
2019,9-pt High,1.8593749999999999E-3
2019,Cold Lows,0
2019,9-pt Low,1.1210937500000001E-3
2020,Cold Highs,0
2020,9-pt High,6.5624999999999993E-4
2020,Cold Lows,0
2020,9-pt Low,3.1250000000000001E-4
2021,Cold Highs,0
2021,9-pt High,1.6406249999999998E-4
2021,Cold Lows,0
2021,9-pt Low,3.9062500000000001E-5
2022,Cold Highs,0
2022,9-pt High,3.1250000000000001E-5
2022,Cold Lows,0
2022,9-pt Low,0
2023,Cold Highs,0
2023,9-pt High,3.9062500000000001E-6
2023,Cold Lows,0
2023,9-pt Low,0
2024,Cold Highs,0
2024,9-pt High,0
2024,Cold Lows,0
2024,9-pt Low,0
